Date,Year,TripID,Month,SiteID,TP,pH,EC,DOMgL,DOPctSat,rain24,rainsum72
5/9/2019,2019,5/9/2019-1-CWMN,May,HAB010,0.026172,8.01,63,9.98,100.8,0,0.11
5/9/2019,2019,5/9/2019-1-CWMN,May,MEB001,0.063816,7.61,1050,9.94,91.9,0,0.11
5/9/2019,2019,5/9/2019-1-CWMN,May,HAB002,0.026508,7.97,74,9.06,90.6,0,0.11
5/9/2019,2019,5/9/2019-1-CWMN,May,NER075,0.033144,7.75,31,8.24,83,0,0.11
5/9/2019,2019,5/9/2019-1-CWMN,May,MLB024,0.030696,7.8,31,9.68,88.5,0,0.11
5/9/2019,2019,5/9/2019-1-CWMN,May,GEB020,0.027936,7.75,63,12.61,104.1,0,0.11
5/9/2019,2019,5/9/2019-1-CWMN,May,SMB001,0.029976,7.61,10,7.56,82.8,0,0.11
5/9/2019,2019,5/9/2019-1-CWMN,May,MIB030,0.038244,7.54,20,5.45,56,0,0.11
5/9/2019,2019,5/9/2019-1-CWMN,May,NER002,0.146832,7.58,10,6.55,73.4,0,0.11
5/9/2019,2019,5/9/2019-1-CWMN,May,MMB106,0.01518,7.99,10,7.6,80.2,0,0.11
5/9/2019,2019,5/9/2019-1-CWMN,May,WIP002,0.0219,7.98,10,,,0,0.11
5/9/2019,2019,5/9/2019-1-CWMN,May,WIP003,0.025932,7.8,10,,,0,0.11
5/9/2019,2019,5/9/2019-1-CWMN,May,NER040,0.036156,7.66,20,3.76,39.2,0,0.11
5/9/2019,2019,5/9/2019-1-CWMN,May,SPB016,0.038448,7.84,20,7.38,82.7,0,0.11
5/9/2019,2019,5/9/2019-1-CWMN,May,UNB002,0.06882,7.53,586,8.3,74,0,0.11
5/9/2019,2019,5/9/2019-1-CWMN,May,MOB001,0.044988,7.42,41,11.9,110,0,0.11
5/9/2019,2019,5/9/2019-1-CWMN,May,PTB047,0.031968,7.6,512,10.5,99,0,0.11
5/9/2019,2019,5/9/2019-1-CWMN,May,PTB028,0.026904,7.4,41,8.8,87,0,0.11
5/9/2019,2019,5/9/2019-1-CWMN,May,NER200,0.043788,7.34,52,9.9,100,0,0.11
5/9/2019,2019,5/9/2019-1-CWMN,May,NER179,0.033444,7.84,108,11.5,107,0,0.11
5/9/2019,2019,5/9/2019-1-CWMN,May,MOB032,0.051936,7.35,31,9.6,97,0,0.11
5/9/2019,2019,5/9/2019-1-CWMN,May,UNB016,0.05088,7.27,246,11,100,0,0.11
5/9/2019,2019,5/9/2019-1-CWMN,May,UNB014,0.048012,7.37,309,10.2,91.9,0,0.11
