Date,Month,Year,SiteID,EC,TP,pH,DOMgL,DOPctSat,DOTemp
5/14/2020,May,2020,BEB025,41,0.0391,7.1,,84,9.5
5/14/2020,May,2020,BMB026,41,0.0268,6.83,,87.5,11.4
5/14/2020,May,2020,EAB010,52,0.0293,7.04,11.08,102,11.7
5/14/2020,May,2020,GEB020,20,0.0322,6.94,10.51,89.8,8.5
5/14/2020,May,2020,HAB002,10,0.037,7.01,10.13,96.3,13.1
5/14/2020,May,2020,HAB006,74,0.0361,6.97,,,
5/14/2020,May,2020,HAB010,121,0.0381,7.03,10.2,93.3,11.4
5/14/2020,May,2020,MEB001,546,0.0996,6.8,10.33,93.9,11.1
5/14/2020,May,2020,MIB030,350,0.0364,7.04,7.2,63,10
5/14/2020,May,2020,MLB024,97,0.0872,6.99,9.86,86.3,9.6
5/14/2020,May,2020,MMB106,10,0.021,7.14,9.02,85.3,13.5
5/14/2020,May,2020,MOB001,86,0.0344,6.93,9.34,87.3,12.3
5/14/2020,May,2020,MOB032,110,0.0392,7.05,9.6,90.8,12.8
5/14/2020,May,2020,MPB037,31,0.0224,7.2,,76.8,10.7
5/14/2020,May,2020,MPB088,20,0.0304,7.08,,94.5,12.2
5/14/2020,May,2020,NER002,20,0.126,7.03,6.62,63.4,13.8
5/14/2020,May,2020,NER040,10,0.0424,6.82,6.62,57.8,9.8
5/14/2020,May,2020,NER075,20,0.0352,6.95,9.53,90,12.7
5/14/2020,May,2020,NER080,41,0.036,6.78,9.96,93.7,12.5
5/14/2020,May,2020,NER125,122,0.0336,6.71,7.5,69,12.6
5/14/2020,May,2020,NER150,31,0.0583,6.93,10.2,89,10.3
5/14/2020,May,2020,NER179,63,0.0409,6.9,9.36,87.8,12.5
5/14/2020,May,2020,NER185,206,0.0402,6.88,8.89,82.8,12.2
5/14/2020,May,2020,NER200,10,0.0416,7.03,,,
5/14/2020,May,2020,PEB008,52,0.0525,6.89,10.2,89,10.2
5/14/2020,May,2020,POB040,20,0.0376,6.94,7.6,65,9.2
5/14/2020,May,2020,PQB036,41,0.0188,6.92,4.8,43,10.6
5/14/2020,May,2020,PQB040,10,0.0325,6.77,,88.9,10.6
5/14/2020,May,2020,PTB028,41,0.0381,7.03,10.08,91.2,11.7
5/14/2020,May,2020,PTB035,52,0.0402,7.08,9.87,88.5,11.2
5/14/2020,May,2020,PTB047,471,0.131,7.01,9.26,83.3,10.7
5/14/2020,May,2020,PUB022,41,0.0398,7.04,10.73,96.6,10.7
5/14/2020,May,2020,SHB021,20,0.0302,6.86,,93.9,11.8
5/14/2020,May,2020,SMB001,10,0.0287,7.09,6.98,64.5,12.2
5/14/2020,May,2020,SPB016,52,0.0547,6.89,10.25,97.5,13.9
5/14/2020,May,2020,THB033,20,0.0375,6.77,10.98,93.4,8.3
5/14/2020,May,2020,UNB002,74,0.127,6.7,7.76,65.6,8.7
5/14/2020,May,2020,UNB014,41,0.064,6.88,9.74,84.3,9.7
5/14/2020,May,2020,UNB016,30,0.0824,6.78,10.28,91.8,11.2
5/14/2020,May,2020,WIP002,10,0.0348,7.1,,,
5/14/2020,May,2020,WIP003,10,0.0368,7.04,,,
