Date,TripID,Month,SiteID,TP,pH,EC,DOMgL,DOPctSat,Flow
5/13/2021,5/13/2021-1-CWMN,May,BEB025,0.0276,7.13,20,8.83,80.2,Flowing
6/10/2021,6/10/2021-1-CWMN,June,BEB025,0.082,6.86,108,5.71,62.3,Flowing
7/8/2021,7/8/2021-1-CWMN,July,BEB025,0.0929,7.41,6130,,,Flowing
8/12/2021,08/12/2021-1-CWMN,August,BEB025,0.072,7.25,272,6.01,69.8,Flowing
9/9/2021,09/09/2021-1-CWMN,September,BEB025,0.0764,6.91,218,6,68,Flowing
5/13/2021,5/13/2021-1-CWMN,May,BMB026,0.0257,7.01,120,9.06,85.8,Flowing
6/10/2021,6/10/2021-1-CWMN,June,BMB026,0.061,6.47,379,6.23,71,Flowing
7/8/2021,7/8/2021-1-CWMN,July,BMB026,0.0546,7.04,4880,6.76,77,Flowing
8/12/2021,08/12/2021-1-CWMN,August,BMB026,0.0508,6.83,432,6.41,75.6,Flowing
9/9/2021,09/09/2021-1-CWMN,September,BMB026,0.0726,6.85,314,5.3,60,Flowing
5/13/2021,5/13/2021-1-CWMN,May,EAB010,0.0235,7.08,31,9.81,94.3,Flowing
6/10/2021,6/10/2021-1-CWMN,June,EAB010,0.0602,6.71,110,7.9,92.2,Flowing
7/8/2021,7/8/2021-1-CWMN,July,EAB010,0.0519,6.7,2010,8.69,99.2,Flowing
8/12/2021,08/12/2021-1-CWMN,August,EAB010,0.0489,7.58,121,8.13,97.2,Flowing
9/9/2021,09/09/2021-1-CWMN,September,EAB010,,7.14,145,8.63,98,Flowing
5/13/2021,5/13/2021-1-CWMN,May,GEB020,0.0256,7.17,86,10.11,89.3,Flowing
6/10/2021,6/10/2021-1-CWMN,June,GEB020,0.0551,6.85,285,7.41,77.6,Flowing
7/8/2021,7/8/2021-1-CWMN,July,GEB020,0.12,7.03,7700,7.92,85.1,Flowing
8/12/2021,08/12/2021-1-CWMN,August,GEB020,0.0553,7.6,1940,7.32,80.7,Flowing
9/9/2021,09/09/2021-1-CWMN,September,GEB020,0.0872,7.21,1260,7.9,85.6,Flowing
5/13/2021,5/13/2021-1-CWMN,May,HAB002,0.0289,8.16,10,8.93,88.7,Flowing
6/10/2021,6/10/2021-1-CWMN,June,HAB002,0.0857,6.74,420,6.48,77.5,Flowing
7/8/2021,7/8/2021-1-CWMN,July,HAB002,0.0524,7.14,426,7.64,87.9,Flowing
8/12/2021,08/12/2021-1-CWMN,August,HAB002,0.0387,7.8,31,6.52,78.1,Flowing
9/9/2021,09/09/2021-1-CWMN,September,HAB002,0.0529,7.18,52,7.93,90.9,Flowing
5/13/2021,5/13/2021-1-CWMN,May,HAB006,0.07,7.59,31,,,Flowing
6/10/2021,6/10/2021-1-CWMN,June,HAB006,0.0489,6.82,241,,,Flowing
7/8/2021,7/8/2021-1-CWMN,July,HAB006,0.0646,6.95,3450,,,Flowing
8/12/2021,08/12/2021-1-CWMN,August,HAB006,0.11,7.65,85,,,Flowing
9/9/2021,09/09/2021-1-CWMN,September,HAB006,0.0658,7.25,683,,,Flowing
5/13/2021,5/13/2021-1-CWMN,May,HAB010,0.0432,6.86,130,9.17,87,Flowing
